UTC,Coordinated Universal Time,Worldwide,UTC
AZOT,Azores Time,Atlantic,UTC -1:00
CVT,Cape Verde Time,Africa,UTC -1:00
EGT,East Greenland Time,North America,UTC -1:00
CKT,Cook Island Time,Pacific,UTC -10:00
HAST,Hawaii-Aleutian Standard Time,North America,UTC -10:00
TAHT,Tahiti Time,Pacific,UTC -10:00
NUT,Niue Time,Pacific,UTC -11:00
SST,Samoa Standard Time,Pacific,UTC -11:00
AoE,Anywhere on Earth,Pacific,UTC -12:00
BRST,Braslia Summer Time,South America,UTC -2:00
FNT,Fernando de Noronha Time,South America,UTC -2:00
GST,South Georgia Time,South America,UTC -2:00
PMDT,Pierre & Miquelon Daylight Time,North America,UTC -2:00
UYST,Uruguay Summer Time,South America,UTC -2:00
WGST,Western Greenland Summer Time,North America,UTC -2:00
NDT,Newfoundland Daylight Time,North America,UTC -2:30
ADT,Atlantic Daylight Time,North America,UTC -3:00
AMST,Amazon Summer Time,South America,UTC -3:00
ART,Argentina Time,South America,UTC -3:00
BRT,Braslia Time,South America,UTC -3:00
CLST,Chile Summer Time,South America,UTC -3:00
FKST,Falkland Islands Summer Time,South America,UTC -3:00
GFT,French Guiana Time,South America,UTC -3:00
PMST,Pierre & Miquelon Standard Time,North America,UTC -3:00
PYST,Paraguay Summer Time,South America,UTC -3:00
ROTT,Rothera Time,Antarctica,UTC -3:00
SRT,Suriname Time,South America,UTC -3:00
UYT,Uruguay Time,South America,UTC -3:00
WARST,Western Argentine Summer Time,South America,UTC -3:00
WGT,West Greenland Time,North America,UTC -3:00
NST,Newfoundland Standard Time,North America,UTC -3:30
AMT,Amazon Time,South America,UTC -4:00
AST,Atlantic Standard Time,North America,UTC -4:00
BOT,Bolivia Time,South America,UTC -4:00
CDT,Cuba Daylight Time,Caribbean,UTC -4:00
CLT,Chile Standard Time,South America,UTC -4:00
EDT,Eastern Daylight Time,North America,UTC -4:00
FKT,Falkland Island Time,South America,UTC -4:00
GYT,Guyana Time,South America,UTC -4:00
PYT,Paraguay Time,South America,UTC -4:00
AT,Atlantic Time,North America,UTC -4:00 / -3:00
VET,Venezuelan Standard Time,South America,UTC -4:30
ACT,Acre Time,South America,UTC -5:00
CDT,Central Daylight Time,North America,UTC -5:00
COT,Colombia Time,South America,UTC -5:00
